faits;tauxpourmille;yr_id;dp_id;cl_id
18667;7,15828918920784485;7;60;1
3976;4,79209930348234714;7;61;1
1144;4,10808869736960247;7;62;1
10221;6,99030958843962402;7;63;1
2500;3,77727951264028805;7;64;1
2817;4,09900471451021442;7;65;1
951;4,13859731578672463;7;66;1
2859;5,92213602891676150;7;67;1
5184;4,51539231390338447;7;68;1
3806;4,95674891449022059;7;69;1
11163;5,92693039374292852;7;70;1
927;3,95138980652256366;7;71;1
2149;3,89973560191847390;7;72;1
2627;4,63321416666519692;7;73;1
1902;4,32518476407049413;7;74;1
3440;4,11874435767942337;7;75;1
15911;7,41458386341246989;7;76;1
6799;5,41865678838387943;7;77;1
7222;5,05517150624791789;7;78;1
6817;4,70227760751536650;7;79;1
1431;3,82128866351029828;7;80;1
3252;5,71782230443008199;7;81;1
1636;4,18343706688896511;7;82;1
1131;4,31159365040638054;7;83;1
6645;6,12335731379510850;7;84;1
2851;5,07348636244730322;7;85;1
2137;3,08500732635104402;7;86;1
1857;4,22687170522520539;7;87;1
1651;4,43670506794796360;7;88;1
1576;4,34882187214574145;7;89;1
1623;4,85701289218209453;7;90;1
847;6,04481872680559551;7;91;1
7255;5,55462829545263137;7;92;1
7782;4,78535099645618356;7;93;1
13553;8,18703629648512710;7;94;1
8040;5,71034083064151865;7;95;1
7137;5,70137178024674807;7;96;1
3435;8,95559744393952428;7;97;1
2901;8,03100560592428536;7;98;1
2815;9,87258577576078444;7;99;1
6002;6,95413998421936164;7;100;1
1842;7,18078263513671633;7;101;1
730;1,14343893174609401;1;1;2
950;1,77193846337496441;1;2;2
417;1,22869669754614241;1;3;2
195;1,19952019192323078;1;4;2
188;1,33232228025540911;1;5;2
2156;1,98947314026708377;1;6;2
350;1,07640309142967849;1;7;2
376;1,36543063721306890;1;8;2
218;1,42421292636557850;1;9;2
542;1,75455634327150300;1;10;2
567;1,54065620542082726;1;11;2
293;1,05132096865054159;1;12;2
3477;1,72152831312505672;1;13;2
934;1,34644410454979901;1;14;2
159;1,08927237975186531;1;15;2
527;1,49170082199225562;1;16;2
782;1,21770625872987925;1;17;2
371;1,20803620852463300;1;18;2
299;1,23791583000393324;1;19;2
591;1,10837507712677663;1;20;2
647;1,08021831429177251;1;21;2
91;0,76149353148901278;1;22;2
375;0,90407411961262241;1;23;2
850;1,57831506511013853;1;24;2
712;1,40155824931201600;1;25;2
973;1,61406710073404369;1;26;2
662;1,52559520105823765;1;27;2
950;1,04596867158675644;1;28;2
184;1,19245899302022629;1;29;2
197;1,11835233207684270;1;30;2
1060;1,42855987687431107;1;31;2
1934;1,43452335476711990;1;32;2
177;0,92833466202324511;1;33;2
2217;1,41509524286723698;1;34;2
1698;1,49936290321868526;1;35;2
1165;1,10764713880007104;1;36;2
235;1,05143061676472560;1;37;2
724;1,19427999267596241;1;38;2
1559;1,24430127574801741;1;39;2
283;1,08630146976972708;1;40;2
415;1,02466605762820673;1;41;2
358;1,07582136557191332;1;42;2
876;1,14961082523946945;1;43;2
193;0,84895244546690185;1;44;2
1688;1,22243368586930390;1;45;2
975;1,44587961383892138;1;46;2
150;0,86531638851552084;1;47;2
417;1,25288057374118544;1;48;2
75;0,98139279265133084;1;49;2
746;0,91992689910646241;1;50;2
524;1,05144453228777479;1;51;2
913;1,59927690962946878;1;52;2
239;1,34206329597268703;1;53;2
363;1,17976651673123434;1;54;2
966;1,31639732305289714;1;55;2
238;1,25889291476025500;1;56;2
744;0,99525381647733668;1;57;2
1311;1,25422019744162050;1;58;2
242;1,15700345666735194;1;59;2
5097;1,95758150924656715;1;60;2
1371;1,66476026723591519;1;61;2
357;1,25127931919189095;1;62;2
2867;1,94937870778017630;1;63;2
689;1,05885968956508369;1;64;2
627;0,93028638577062428;1;65;2
222;0,97441502179266026;1;66;2
791;1,66747827113491809;1;67;2
1605;1,43123772189758047;1;68;2
955;1,25205999923958644;1;69;2
2789;1,51914344058482387;1;70;2
325;1,36990920663288973;1;71;2
604;1,08824318992185898;1;72;2
772;1,36020621571954381;1;73;2
458;1,06590703335730463;1;74;2
908;1,13299459955878090;1;75;2
3084;1,40800894113070796;1;76;2
1890;1,50507065470573487;1;77;2
2569;1,83806563089152264;1;78;2
2206;1,54070936885392462;1;79;2
